iter	Passed	Remaining
410	4453	6381
411	4464	6371
412	4474	6359
413	4486	6349
414	4496	6338
415	4507	6327
416	4516	6314
417	4528	6304
418	4539	6294
419	4548	6280
420	4556	6267
421	4565	6252
422	4574	6239
423	4584	6228
424	4595	6216
425	4605	6205
426	4615	6194
427	4624	6180
428	4635	6169
429	4647	6160
430	4655	6146
431	4666	6135
432	4676	6124
433	4685	6110
434	4698	6102
435	4708	6090
436	4718	6079
437	4728	6067
438	4739	6056
439	4748	6043
440	4760	6033
441	4771	6023
442	4780	6010
443	4791	5999
444	4803	5990
445	4815	5981
446	4826	5971
447	4837	5960
448	4847	5948
449	4857	5936
450	4867	5925
451	4877	5913
452	4884	5898
453	4893	5884
454	4901	5870
455	4908	5855
456	4915	5840
457	4924	5827
458	4933	5814
459	4941	5801
460	4949	5787
461	4959	5775
462	4969	5763
463	4980	5753
464	4991	5742
465	5004	5734
466	5014	5723
467	5027	5714
468	5038	5704
469	5047	5692
470	5058	5681
471	5070	5671
472	5079	5659
473	5088	5647
474	5099	5636
475	5109	5624
476	5118	5612
477	5129	5601
478	5140	5591
479	5150	5579
480	5160	5568
481	5169	5555
482	5180	5545
483	5193	5537
484	5202	5524
485	5213	5513
486	5221	5500
487	5230	5488
488	5239	5474
489	5246	5460
490	5256	5448
491	5264	5435
492	5272	5421
493	5281	5409
494	5290	5397
495	5298	5384
496	5308	5372
497	5318	5360
498	5327	5348
499	5338	5338
500	5346	5325
501	5356	5314
502	5367	5303
503	5377	5292
504	5386	5279
505	5394	5266
506	5404	5255
507	5412	5242
508	5423	5231
509	5433	5220
510	5445	5210
511	5457	5201
512	5467	5189
513	5475	5177
514	5484	5165
515	5496	5155
516	5506	5144
517	5518	5134
518	5527	5123
519	5537	5111
520	5547	5100
521	5556	5088
522	5567	5077
523	5577	5067
524	5587	5055
525	5597	5044
526	5606	5032
527	5617	5021
528	5627	5010
529	5636	4998
530	5646	4987
531	5655	4974
532	5663	4962
533	5674	4951
534	5686	4942
535	5697	4931
536	5708	4921
537	5723	4915
538	5737	4907
539	5750	4898
540	5761	4888
541	5771	4877
542	5780	4865
543	5790	4853
544	5801	4843
545	5809	4831
546	5821	4821
547	5832	4810
548	5841	4799
549	5852	4788
550	5862	4777
551	5871	4765
552	5881	4754
553	5891	4743
554	5900	4731
555	5909	4719
556	5918	4707
557	5929	4696
558	5940	4686
559	5951	4675
560	5962	4665
561	5974	4656
562	5985	4646
563	5997	4635
564	6008	4625
565	6019	4615
566	6030	4605
567	6040	4594
568	6051	4583
569	6061	4572
570	6072	4562
571	6081	4550
572	6091	4539
573	6100	4527
574	6109	4515
575	6120	4505
576	6130	4494
577	6142	4484
578	6153	4474
579	6168	4467
580	6182	4458
581	6191	4446
582	6202	4436
583	6214	4426
584	6225	4416
585	6234	4404
586	6245	4394
587	6255	4382
588	6265	4372
589	6275	4361
590	6284	4349
591	6295	4338
592	6306	4328
593	6316	4317
594	6328	4307
595	6338	4296
596	6347	4284
597	6358	4274
598	6369	4263
599	6377	4251
600	6388	4241
601	6398	4230
602	6410	4220
603	6420	4209
604	6429	4197
605	6442	4188
606	6451	4176
607	6462	4166
608	6474	4157
609	6485	4146
610	6501	4139
611	6513	4129
612	6525	4119
613	6539	4111
614	6550	4100
615	6561	4090
616	6573	4080
617	6584	4070
618	6595	4059
619	6607	4049
620	6617	4038
621	6630	4029
622	6640	4018
623	6651	4007
624	6662	3997
625	6673	3987
626	6683	3975
627	6692	3964
628	6702	3953
629	6711	3941
630	6720	3930
631	6729	3918
632	6738	3906
633	6746	3894
634	6753	3882
635	6762	3870
636	6770	3858
637	6778	3846
638	6786	3834
639	6794	3822
640	6802	3810
641	6811	3798
642	6819	3786
643	6828	3774
644	6837	3763
645	6845	3751
646	6853	3739
647	6862	3727
648	6870	3715
649	6878	3703
650	6886	3691
651	6894	3679
652	6901	3667
653	6908	3655
654	6917	3643
655	6925	3631
656	6934	3620
657	6944	3609
658	6953	3597
659	6960	3585
660	6969	3574
661	6978	3562
662	6986	3551
663	6996	3540
664	7007	3530
665	7017	3519
666	7030	3509
667	7041	3499
668	7052	3489
669	7060	3477
670	7070	3466
671	7080	3455
672	7090	3445
673	7103	3435
674	7112	3424
675	7124	3414
676	7137	3405
677	7147	3394
678	7157	3383
679	7167	3372
680	7179	3362
681	7190	3352
682	7202	3342
683	7214	3333
684	7223	3321
685	7231	3310
686	7238	3298
687	7247	3286
688	7255	3275
689	7266	3264
690	7274	3253
691	7285	3242
692	7297	3232
693	7307	3221
694	7317	3211
695	7330	3201
696	7342	3192
697	7354	3182
698	7365	3171
699	7376	3161
700	7387	3150
701	7396	3139
702	7407	3129
703	7418	3118
704	7431	3109
705	7441	3098
706	7451	3087
707	7462	3077
708	7473	3067
709	7483	3056
710	7493	3045
711	7502	3034
712	7513	3024
713	7524	3014
714	7534	3003
715	7543	2992
716	7554	2981
717	7564	2970
718	7573	2960
719	7585	2950
720	7594	2938
721	7605	2928
722	7616	2917
723	7625	2907
724	7635	2896
725	7644	2885
726	7655	2874
727	7666	2864
728	7675	2853
729	7684	2842
730	7694	2831
731	7703	2820
732	7714	2809
733	7724	2799
734	7737	2789
735	7747	2779
736	7756	2767
737	7766	2757
738	7776	2746
739	7786	2735
740	7798	2725
741	7807	2714
742	7819	2704
743	7829	2693
744	7839	2683
745	7849	2672
746	7859	2662
747	7868	2650
748	7879	2640
749	7890	2630
750	7899	2619
751	7909	2608
752	7917	2597
753	7927	2586
754	7937	2575
755	7949	2565
756	7959	2554
757	7969	2544
758	7980	2533
759	7989	2523
760	8001	2512
761	8010	2502
762	8023	2492
763	8034	2481
764	8045	2471
765	8054	2460
766	8063	2449
767	8076	2439
768	8087	2429
769	8096	2418
770	8109	2408
771	8121	2398
772	8132	2388
773	8141	2377
774	8151	2366
775	8163	2356
776	8172	2345
777	8184	2335
778	8193	2324
779	8202	2313
780	8215	2303
781	8228	2293
782	8239	2283
783	8250	2273
784	8260	2262
785	8270	2251
786	8280	2241
787	8288	2230
788	8298	2219
789	8308	2208
790	8316	2197
791	8323	2185
792	8333	2175
793	8344	2165
794	8354	2154
795	8364	2143
796	8375	2133
797	8385	2122
798	8397	2112
799	8408	2102
800	8419	2091
801	8429	2081
802	8440	2070
803	8452	2060
804	8462	2049
805	8471	2039
806	8482	2028
807	8493	2018
808	8503	2007
809	8512	1996
810	8521	1986
