iter	RMSE
0	69.21404392
1	66.24948419
2	63.49685905
3	61.05611486
4	58.77417751
5	56.68248092
6	54.85159125
7	53.14150479
8	51.64512656
9	50.20311513
10	48.90652418
11	47.65529435
12	46.62705516
13	45.62713854
14	44.72971794
15	43.87863663
16	43.10762908
17	42.4258102
18	41.80697464
19	41.29208864
20	40.79509247
21	40.32857939
22	39.86152334
23	39.44756629
24	39.08286673
25	38.75412388
26	38.45078721
27	38.15402967
28	37.87234782
29	37.60511568
30	37.35361383
31	37.13530425
32	36.97174471
33	36.75130486
34	36.56424412
35	36.39033826
36	36.22829072
37	36.07317511
38	35.92739707
39	35.80208398
40	35.68111995
41	35.55954466
42	35.4548091
43	35.35527482
44	35.24941379
45	35.1370067
46	35.03376268
47	34.93672918
48	34.86652766
49	34.78687507
50	34.71863493
51	34.63953849
52	34.56466066
53	34.47546628
54	34.42519679
55	34.36693254
56	34.30199296
57	34.23641864
58	34.17287556
59	34.12932794
60	34.06641657
61	34.01859531
62	33.96203423
63	33.92091394
64	33.87515843
65	33.83736215
66	33.78703313
67	33.74660087
68	33.70325142
69	33.67036756
70	33.62597602
71	33.57944499
72	33.55119187
73	33.50422286
74	33.46928705
75	33.43061868
76	33.40249691
77	33.36960083
78	33.3405998
79	33.30023811
80	33.27200521
81	33.23582142
82	33.20680032
83	33.17577049
84	33.13742148
85	33.1064334
86	33.07199649
87	33.04637328
88	33.01411957
89	32.97956636
90	32.95960887
91	32.92830812
92	32.89089726
93	32.85441596
94	32.82386666
95	32.79752363
96	32.75127052
97	32.73379046
98	32.68862216
99	32.65227094
100	32.63337595
101	32.61501092
102	32.59428684
103	32.56721186
104	32.53432083
105	32.50518268
106	32.47224297
107	32.45283606
108	32.42993839
109	32.40886533
110	32.38441999
111	32.36532674
112	32.33633096
113	32.31711392
114	32.30319897
115	32.27587171
116	32.25677639
117	32.22628158
118	32.19976265
119	32.16695931
120	32.15316898
121	32.12280426
122	32.10756082
123	32.08595457
124	32.06849519
125	32.05205197
126	32.02210182
127	32.00953834
128	31.98286834
129	31.96517822
130	31.95125793
131	31.93165462
132	31.91419853
133	31.89412975
134	31.87483886
135	31.83863091
136	31.82706698
137	31.81221366
138	31.79852208
139	31.77643426
140	31.75367925
141	31.7346802
142	31.70939688
143	31.68966546
144	31.67531781
145	31.66386293
146	31.64553846
147	31.62942005
148	31.61073149
149	31.59337468
150	31.57125463
151	31.55330198
152	31.53747845
153	31.51865793
154	31.50377448
155	31.48832839
156	31.46855544
157	31.45010146
158	31.43925637
159	31.41803088
160	31.3979915
161	31.37408068
162	31.34877669
163	31.33482433
164	31.32148534
165	31.30731783
166	31.28728714
167	31.2730321
168	31.24549452
169	31.22938002
170	31.20519205
171	31.18271034
172	31.16433185
173	31.15067529
174	31.13252906
175	31.12107532
176	31.09476165
177	31.07688707
178	31.06462263
179	31.05071026
180	31.03757963
181	31.01809859
182	31.00279164
183	30.99135129
184	30.97738806
185	30.96441286
186	30.95197499
187	30.93703468
188	30.92044529
189	30.90853718
190	30.88781603
191	30.8754343
192	30.86407144
193	30.8502564
194	30.84050636
195	30.82767076
196	30.81396677
197	30.80137593
198	30.7868424
199	30.77651611
200	30.75406754
201	30.74056083
202	30.7261077
203	30.70242656
204	30.68644796
205	30.66592327
206	30.65088398
207	30.63744307
208	30.62038176
209	30.6149018
210	30.6036611
211	30.58367565
212	30.56581443
213	30.55662254
214	30.54368862
215	30.52705184
216	30.50775368
217	30.49432347
218	30.48336323
219	30.47111148
220	30.45293245
221	30.43306259
222	30.42031779
223	30.40764881
224	30.39682001
225	30.38630986
226	30.37201498
227	30.35772906
228	30.34068004
229	30.32885493
230	30.31789775
231	30.30584659
232	30.29118263
233	30.27797015
234	30.26701891
235	30.25748058
236	30.24715439
237	30.22929223
238	30.21821439
239	30.20408356
240	30.19328615
241	30.18705145
242	30.17363737
243	30.16105144
244	30.1463586
245	30.1332879
246	30.12377771
247	30.11328345
248	30.10005229
249	30.08941195
250	30.07322506
251	30.0613078
252	30.03844435
253	30.02665176
254	30.01518884
255	30.00178175
256	29.99163307
257	29.98187759
258	29.97100848
259	29.96030405
260	29.95160287
261	29.9338807
262	29.92309586
263	29.91494822
264	29.9016677
265	29.88797745
266	29.87890542
267	29.86833792
268	29.85816537
269	29.84643922
270	29.8390642
271	29.83422265
272	29.82309218
273	29.81098001
274	29.80076106
275	29.7881757
276	29.7693277
277	29.75980088
278	29.7514155
279	29.73425102
280	29.7179822
281	29.70907198
282	29.69654318
283	29.68981676
284	29.67721978
285	29.66785253
286	29.65692865
287	29.63579876
288	29.62846373
289	29.61707014
290	29.60771428
291	29.59518226
292	29.58603779
293	29.57617811
294	29.56879328
