iter	Passed	Remaining
411	4094	5843
412	4102	5830
413	4111	5819
414	4120	5808
415	4129	5797
416	4140	5789
417	4150	5778
418	4159	5767
419	4170	5758
420	4181	5750
421	4190	5739
422	4200	5729
423	4211	5721
424	4220	5710
425	4230	5700
426	4240	5690
427	4250	5680
428	4260	5670
429	4268	5658
430	4277	5647
431	4286	5636
432	4295	5624
433	4306	5615
434	4317	5608
435	4331	5602
436	4342	5594
437	4353	5586
438	4363	5576
439	4375	5568
440	4384	5558
441	4397	5550
442	4406	5540
443	4415	5529
444	4426	5520
445	4436	5511
446	4448	5503
447	4458	5493
448	4468	5484
449	4478	5473
450	4486	5461
451	4498	5454
452	4507	5442
453	4516	5431
454	4527	5422
455	4535	5411
456	4547	5403
457	4560	5396
458	4570	5387
459	4580	5376
460	4588	5364
461	4594	5350
462	4599	5335
463	4604	5319
464	4609	5303
465	4614	5288
466	4621	5274
467	4627	5259
468	4633	5245
469	4639	5231
470	4645	5217
471	4652	5204
472	4659	5191
473	4666	5178
474	4672	5163
475	4678	5150
476	4685	5137
477	4691	5123
478	4698	5110
479	4705	5097
480	4713	5086
481	4721	5074
482	4731	5064
483	4740	5053
484	4747	5041
485	4754	5028
486	4761	5016
487	4769	5004
488	4776	4991
489	4785	4980
490	4795	4970
491	4805	4962
492	4814	4951
493	4823	4940
494	4832	4930
495	4843	4922
496	4854	4913
497	4867	4906
498	4877	4897
499	4887	4887
500	4898	4878
501	4908	4869
502	4917	4859
503	4927	4849
504	4939	4841
505	4951	4834
506	4961	4824
507	4972	4816
508	4981	4804
509	4991	4796
510	5001	4785
511	5011	4776
512	5020	4766
513	5028	4754
514	5037	4744
515	5046	4733
516	5056	4723
517	5068	4715
518	5079	4707
519	5089	4698
520	5100	4689
521	5111	4680
522	5124	4673
523	5135	4664
524	5145	4655
525	5155	4645
526	5165	4635
527	5174	4625
528	5184	4616
529	5193	4605
530	5205	4597
531	5215	4587
532	5222	4576
533	5231	4565
534	5241	4555
535	5251	4546
536	5263	4537
537	5272	4528
538	5285	4520
539	5294	4509
540	5303	4499
541	5311	4488
542	5321	4478
543	5331	4469
544	5340	4458
545	5349	4448
546	5359	4438
547	5370	4429
548	5379	4419
549	5392	4411
550	5402	4402
551	5412	4393
552	5423	4383
553	5433	4374
554	5444	4365
555	5455	4356
556	5465	4347
557	5476	4337
558	5486	4328
559	5497	4319
560	5508	4310
561	5521	4302
562	5530	4292
563	5539	4282
564	5549	4272
565	5559	4263
566	5569	4252
567	5578	4243
568	5590	4234
569	5602	4226
570	5616	4219
571	5629	4212
572	5643	4205
573	5654	4196
574	5662	4185
575	5672	4175
576	5681	4165
577	5690	4154
578	5699	4143
579	5707	4133
580	5719	4124
581	5730	4116
582	5739	4105
583	5749	4095
584	5759	4085
585	5769	4076
586	5778	4065
587	5786	4054
588	5798	4045
589	5809	4037
590	5820	4027
591	5829	4017
592	5838	4006
593	5848	3997
594	5858	3987
595	5869	3978
596	5879	3968
597	5890	3959
598	5903	3952
599	5916	3944
600	5928	3936
601	5941	3928
602	5952	3919
603	5964	3910
604	5975	3901
605	5984	3890
606	5994	3881
607	6003	3870
608	6014	3861
609	6023	3850
610	6031	3840
611	6043	3831
612	6053	3821
613	6061	3810
614	6072	3801
615	6081	3790
616	6090	3780
617	6101	3771
618	6110	3760
619	6121	3751
620	6132	3742
621	6141	3732
622	6152	3722
623	6162	3713
624	6172	3703
625	6182	3693
626	6193	3684
627	6202	3673
628	6212	3664
629	6222	3654
630	6233	3645
631	6244	3636
632	6254	3626
633	6264	3616
634	6274	3606
635	6285	3597
636	6298	3589
637	6309	3579
638	6317	3568
639	6327	3559
640	6338	3549
641	6350	3541
642	6358	3530
643	6368	3520
644	6379	3511
645	6389	3501
646	6400	3491
647	6411	3482
648	6421	3473
649	6434	3464
650	6445	3455
651	6454	3445
652	6464	3435
653	6476	3426
654	6486	3416
655	6497	3407
656	6506	3396
657	6515	3386
658	6523	3375
659	6532	3365
660	6540	3354
661	6551	3345
662	6562	3335
663	6571	3325
664	6585	3317
665	6598	3309
666	6609	3299
667	6619	3289
668	6628	3279
669	6635	3268
670	6643	3257
671	6650	3246
672	6657	3234
673	6665	3223
674	6673	3213
675	6682	3202
676	6690	3192
677	6700	3182
678	6710	3172
679	6719	3161
680	6728	3152
681	6737	3141
682	6747	3131
683	6755	3120
684	6766	3111
685	6776	3101
686	6785	3091
687	6796	3082
688	6807	3072
689	6816	3062
690	6829	3053
691	6839	3043
692	6849	3034
693	6859	3024
694	6868	3014
695	6877	3003
696	6888	2994
697	6900	2985
698	6913	2976
699	6927	2968
700	6939	2959
701	6948	2949
702	6957	2939
703	6967	2929
704	6979	2920
705	6990	2911
706	7001	2901
707	7009	2890
708	7020	2881
709	7030	2871
710	7041	2862
711	7051	2852
712	7062	2842
713	7071	2832
714	7082	2822
715	7093	2813
716	7103	2803
717	7116	2794
718	7127	2785
719	7138	2776
720	7148	2766
721	7159	2756
722	7171	2747
723	7180	2737
724	7190	2727
725	7201	2718
726	7211	2708
727	7220	2697
728	7230	2687
729	7240	2678
730	7250	2668
731	7258	2657
732	7267	2647
733	7277	2637
734	7287	2627
735	7297	2617
736	7308	2608
737	7319	2598
738	7329	2588
739	7339	2578
740	7348	2568
741	7359	2558
742	7369	2548
743	7380	2539
744	7391	2530
745	7403	2520
746	7411	2510
747	7422	2500
748	7434	2491
749	7446	2482
750	7458	2472
751	7469	2463
752	7479	2453
753	7489	2443
754	7499	2433
755	7508	2423
756	7519	2413
757	7529	2403
758	7539	2394
759	7552	2385
760	7566	2376
761	7578	2367
762	7589	2357
763	7600	2347
764	7608	2337
765	7617	2327
766	7626	2316
767	7636	2306
768	7646	2297
769	7656	2287
770	7666	2277
771	7677	2267
772	7685	2256
773	7697	2247
774	7707	2237
775	7718	2228
776	7730	2218
777	7739	2208
778	7751	2199
779	7761	2189
780	7770	2179
781	7780	2169
782	7791	2159
783	7800	2149
784	7811	2139
785	7821	2129
786	7833	2120
787	7844	2110
788	7856	2101
789	7868	2091
790	7877	2081
791	7886	2071
792	7898	2061
793	7909	2051
794	7919	2042
795	7932	2032
796	7943	2023
797	7953	2013
798	7961	2002
799	7971	1992
800	7980	1982
801	7991	1972
802	8002	1963
803	8010	1952
804	8020	1942
805	8028	1932
806	8037	1922
807	8048	1912
808	8059	1902
809	8068	1892
810	8079	1882
811	8088	1872
812	8097	1862
813	8108	1852
814	8116	1842
815	8125	1832
816	8134	1822
817	8142	1811
818	8152	1801
819	8162	1791
820	8170	1781
821	8179	1771
822	8189	1761
823	8198	1751
824	8207	1741
825	8215	1730
826	8225	1720
827	8238	1711
828	8249	1701
829	8260	1691
830	8268	1681
831	8278	1671
832	8288	1661
833	8298	1651
834	8308	1641
835	8319	1631
836	8329	1622
837	8341	1612
838	8350	1602
839	8361	1592
840	8373	1583
841	8381	1572
842	8391	1562
843	8401	1552
844	8414	1543
845	8424	1533
846	8434	1523
847	8443	1513
848	8453	1503
849	8463	1493
850	8471	1483
851	8482	1473
852	8491	1463
853	8501	1453
854	8510	1443
855	8524	1433
856	8537	1424
857	8549	1414
858	8560	1405
859	8567	1394
860	8575	1384
861	8583	1374
862	8591	1363
863	8599	1353
864	8608	1343
865	8617	1333
866	8627	1323
867	8636	1313
868	8646	1303
869	8655	1293
870	8665	1283
871	8675	1273
872	8687	1263
873	8703	1254
874	8713	1244
875	8724	1234
876	8734	1224
877	8745	1215
878	8752	1204
879	8762	1194
880	8771	1184
881	8780	1174
882	8791	1164
883	8802	1155
884	8811	1145
885	8821	1135
886	8830	1125
887	8841	1115
888	8851	1105
889	8860	1095
890	8871	1085
891	8881	1075
892	8890	1065
893	8899	1055
894	8909	1045
895	8918	1035
896	8929	1025
897	8939	1015
898	8949	1005
899	8960	995
900	8969	985
901	8979	975
902	8990	965
903	8999	955
904	9008	945
905	9018	935
906	9030	925
907	9039	915
908	9050	906
909	9057	895
910	9066	885
911	9076	875
912	9086	865
913	9097	855
914	9106	845
915	9114	835
916	9124	825
917	9134	815
918	9143	805
919	9151	795
920	9161	785
921	9172	775
922	9181	765
923	9192	756
924	9202	746
925	9213	736
926	9222	726
927	9231	716
928	9241	706
929	9251	696
930	9260	686
931	9270	676
932	9282	666
933	9293	656
934	9301	646
935	9312	636
936	9322	626
937	9332	616
938	9343	606
939	9353	597
940	9363	587
941	9374	577
942	9385	567
943	9395	557
944	9408	547
945	9421	537
946	9434	527
947	9443	518
948	9454	508
949	9465	498
950	9474	488
951	9484	478
952	9495	468
953	9510	458
954	9523	448
955	9536	438
956	9546	428
957	9554	418
958	9561	408
959	9570	398
960	9579	388
961	9586	378
962	9595	368
963	9604	358
964	9614	348
965	9622	338
966	9630	328
967	9639	318
968	9648	308
969	9660	298
970	9671	288
971	9686	279
972	9697	269
973	9707	259
974	9718	249
975	9727	239
976	9738	229
977	9750	219
978	9759	209
979	9768	199
980	9777	189
981	9785	179
982	9797	169
983	9808	159
984	9817	149
985	9826	139
986	9837	129
987	9847	119
988	9859	109
989	9870	99
990	9881	89
991	9891	79
992	9900	69
993	9910	59
994	9924	49
995	9936	39
996	9947	29
997	9957	19
998	9967	9
999	9978	0
